match_id,season,start_date,venue,innings,ball,batting_team,bowling_team,striker,non_striker,bowler,runs_off_bat,extras,wides,noballs,byes,legbyes,penalty,wicket_type,player_dismissed,other_wicket_type,other_player_dismissed
1,2024,2024-06-02,"Providence Stadium, Guyana",1,0.1,Papua New Guinea,West Indies,TP Ura,A Vala,AJ Hosein,0,0,,,,,,,,,
1,2024,2024-06-02,"Providence Stadium, Guyana",1,0.2,Papua New Guinea,West Indies,TP Ura,A Vala,AJ Hosein,1,0,,,,,,,,,
1,2024,2024-06-02,"Providence Stadium, Guyana",1,0.3,Papua New Guinea,West Indies,A Vala,TP Ura,AJ Hosein,0,0,,,,,,,,,
1,2024,2024-06-02,"Providence Stadium, Guyana",1,0.4,Papua New Guinea,West Indies,A Vala,TP Ura,AJ Hosein,0,0,,,,,,,,,
1,2024,2024-06-02,"Providence Stadium, Guyana",1,0.5,Papua New Guinea,West Indies,A Vala,TP Ura,AJ Hosein,0,0,,,,,,,,,
1,2024,2024-06-02,"Providence Stadium, Guyana",1,0.6,Papua New Guinea,West Indies,A Vala,TP Ura,AJ Hosein,0,0,,,,,,,,,
1,2024,2024-06-02,"Providence Stadium, Guyana",1,1.1,Papua New Guinea,West Indies,TP Ura,A Vala,R Shepherd,1,0,,,,,,,,,
1,2024,2024-06-02,"Providence Stadium, Guyana",1,1.2,Papua New Guinea,West Indies,A Vala,TP Ura,R Shepherd,0,0,,,,,,,,,
1,2024,2024-06-02,"Providence Stadium, Guyana",1,1.3,Papua New Guinea,West Indies,A Vala,TP Ura,R Shepherd,3,0,,,,,,,,,
1,2024,2024-06-02,"Providence Stadium, Guyana",1,1.4,Papua New Guinea,West Indies,TP Ura,A Vala,R Shepherd,0,0,,,,,,,,,
1,2024,2024-06-02,"Providence Stadium, Guyana",1,1.5,Papua New Guinea,West Indies,TP Ura,A Vala,R Shepherd,0,0,,,,,,caught,TP Ura,,
1,2024,2024-06-02,"Providence Stadium, Guyana",1,1.6,Papua New Guinea,West Indies,L Siaka,A Vala,R Shepherd,0,1,1.0,,,,,,,,
1,2024,2024-06-02,"Providence Stadium, Guyana",1,1.7,Papua New Guinea,West Indies,L Siaka,A Vala,R Shepherd,1,0,,,,,,,,,
1,2024,2024-06-02,"Providence Stadium, Guyana",1,2.1,Papua New Guinea,West Indies,L Siaka,A Vala,AJ Hosein,0,0,,,,,,bowled,L Siaka,,
1,2024,2024-06-02,"Providence Stadium, Guyana",1,2.2,Papua New Guinea,West Indies,S Bau,A Vala,AJ Hosein,1,0,,,,,,,,,
1,2024,2024-06-02,"Providence Stadium, Guyana",1,2.3,Papua New Guinea,West Indies,A Vala,S Bau,AJ Hosein,0,0,,,,,,,,,
1,2024,2024-06-02,"Providence Stadium, Guyana",1,2.4,Papua New Guinea,West Indies,A Vala,S Bau,AJ Hosein,0,0,,,,,,,,,
1,2024,2024-06-02,"Providence Stadium, Guyana",1,2.5,Papua New Guinea,West Indies,A Vala,S Bau,AJ Hosein,0,0,,,,,,,,,
1,2024,2024-06-02,"Providence Stadium, Guyana",1,2.6,Papua New Guinea,West Indies,A Vala,S Bau,AJ Hosein,2,0,,,,,,,,,
1,2024,2024-06-02,"Providence Stadium, Guyana",1,3.1,Papua New Guinea,West Indies,S Bau,A Vala,AD Russell,0,0,,,,,,,,,
1,2024,2024-06-02,"Providence Stadium, Guyana",1,3.2,Papua New Guinea,West Indies,S Bau,A Vala,AD Russell,0,0,,,,,,,,,
1,2024,2024-06-02,"Providence Stadium, Guyana",1,3.3,Papua New Guinea,West Indies,S Bau,A Vala,AD Russell,0,0,,,,,,,,,
1,2024,2024-06-02,"Providence Stadium, Guyana",1,3.4,Papua New Guinea,West Indies,S Bau,A Vala,AD Russell,0,0,,,,,,,,,
1,2024,2024-06-02,"Providence Stadium, Guyana",1,3.5,Papua New Guinea,West Indies,S Bau,A Vala,AD Russell,4,0,,,,,,,,,
1,2024,2024-06-02,"Providence Stadium, Guyana",1,3.6,Papua New Guinea,West Indies,S Bau,A Vala,AD Russell,0,1,1.0,,,,,,,,
1,2024,2024-06-02,"Providence Stadium, Guyana",1,3.7,Papua New Guinea,West Indies,S Bau,A Vala,AD Russell,0,0,,,,,,,,,
1,2024,2024-06-02,"Providence Stadium, Guyana",1,4.1,Papua New Guinea,West Indies,A Vala,S Bau,RL Chase,6,0,,,,,,,,,
1,2024,2024-06-02,"Providence Stadium, Guyana",1,4.2,Papua New Guinea,West Indies,A Vala,S Bau,RL Chase,0,0,,,,,,,,,
1,2024,2024-06-02,"Providence Stadium, Guyana",1,4.3,Papua New Guinea,West Indies,A Vala,S Bau,RL Chase,1,0,,,,,,,,,
